text,Опыт работы,Обязанности,Дополнительные требования,График работы,Высшее образование,Требуемые навыки
"""Тебе 16 или у тебя нет опыта, но есть желание много зарабатывать? Мы крупнейший в России провайдер. Нашими услугами пользуются более 13 миллионов граждан! И именно сейчас мы ищем амбициозных коллег, которые хотят зарабатывать больше 100 тысяч рублей в месяц. И С НАМИ ЭТО ВОЗМОЖНО! Что входит в твои обязанности?  Работать с теплой базой наших клиентов и продавать услуги (Интернет, Телевидение, Мобильная связь) по телефону или через личные встречи с клиентами — выбирать тебе; Принимать заявки на подключение по входящим звонкам  Ты получаешь:  Быстрое и качественное обучение Совмещение с учебой/ основной работой Возможность закрытия практики, если ты студент Возможность зарабатывать от 100 тысяч рублей в месяц Доп. мотивацию в первые 3 месяца работы в размере 10.000 руб Опытного руководителя, который выведет тебя на первую продажу уже на первой неделе стажировки Возможность быстрого карьерного роста уже спустя 3 месяца работы Трудоустройство по договору гражданско-правового характера с 16 лет Повышение своего уровня компетенций в продажах до уровня ТОП  Опыт не обязателен! Будет преимуществом, если ты уже работал в компаниях: М.Видео, МВидео, Эльдорадо, DNS, ДНС, МТС, Теле2, РТК, Ростелеком, Билайн, Евросеть, Связной, Мотив, Первый Сотовый, Теlе2, Sаmsung, rе:Stоrе, Технопарк и в других магазинах цифровой и бытовой техники. Мы ждем тебя в нашей дружной команде ТОПовых продажников! До встречи на собеседовании!""",нет опыта; 16,"Работать с теплой базой наших клиентов; продавать услуги (Интернет, Телевидение, Мобильная связь); Принимать заявки на подключение по входящим звонкам","Будет преимуществом; М.Видео, МВидео, Эльдорадо, DNS, ДНС, МТС, Теле2, РТК, Ростелеком, Билайн, Евросеть, Связной, Мотив, Первый Сотовый, Теlе2, Sаmsung, rе:Stоrе, Технопарк и в других магазинах цифровой и бытовой техники.",Совмещение с учебой/ основной работой; Возможность закрытия практики,,
"""Можно РАБОТАТЬ С 16 лет! Приглашаем также студентов на подработку!*не удаленно Обязанности:  Продажи услуг связи компании (тарифы, акции и т.п.) Консультация по выбору подходящих и выгодных тарифов для клиентов: интернет, интерактивное ТВ, видеонаблюдение, мобильная связь, умный дом Формирование заявок на подключение услуг  Условия:  Время работы 4 часа в день График подстраиваете под себя (в зависимости от учёбы/занятости) Средний доход от 35 000 рублей в месяц и выше, ежемесячные премии по результатам работы Удобный район работы, без привязки к офису Оформление по договору ГПХ Карьерный рост Нет потолка по оплате работы сверх плана  Ждем именно твой отклик!!!!""",С 16 лет; студентов на подработку,"Продажи услуг связи компании (тарифы, акции и т.п.); Консультация по выбору подходящих и выгодных тарифов для клиентов: интернет, интерактивное ТВ, видеонаблюдение, мобильная связь, умный дом; Формирование заявок на подключение услуг",,подработку; 4 часа в день; График подстраиваете под себя; (в зависимости от учёбы/занятости),,
"""Рассматриваем кандидатов без опыта работы!!! Обязанности:  Продвигать услуги компании (Интернет, ТВ, Мобильная связь) Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение услуг Вести отчетность  Требования:  Желание работать и зарабатывать Стремление к личному результату Позитивный настрой Умение работать в команде  Ты получаешь:  Индивидуальный график работы, совмещение с учебой Возможность взять свободное посещение от учебы ( прохождение практики ) Шанс заработать столько, сколько захочешь с первого дня Доп. мотивацию в первые 3 месяца работы Опытного наставника, который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Корпоративное обучение (простое и понятное) Повышение своего уровня компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта,"Продвигать услуги компании (Интернет, ТВ, Мобильная связь); Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение услуг; Вести отчетность",Умение работать в команде,Индивидуальный график работы; совмещение с учебой; свободное посещение от учебы; прохождение практики,,
"""Приглашаем также студентов на подработку!*не удаленно Обязанности:  Продажи услуг связи компании (тарифы, акции и т.п.) Консультация по выбору подходящих и выгодных тарифов для клиентов: интернет, интерактивное ТВ, видеонаблюдение, мобильная связь, умный дом Формирование заявок на подключение услуг  Условия:  Время работы 4 часа в день График подстраиваете под себя (в зависимости от учёбы/занятости) Средний доход от 35 000 рублей в месяц и выше, ежемесячные премии по результатам работы Удобный район работы, без привязки к офису Оформление по договору ГПХ Карьерный рост Нет потолка по оплате работы сверх плана""",студентов на подработку,"Продажи услуг связи компании (тарифы, акции и т.п.); Консультация по выбору подходящих и выгодных тарифов для клиентов: интернет, интерактивное ТВ, видеонаблюдение, мобильная связь, умный дом; Формирование заявок на подключение услуг",,подработку; 4 часа в день; График подстраиваете под себя; (в зависимости от учёбы/занятости),,
"""Обязанности:  Продвигать услуги компании Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение Вносить данные в программу Вести отчетность  Требования:  Желание зарабатывать Стремление к результату Быть ориентированным на результат Хотеть расти и становится лучше  Ты получаешь:  Доп. мотивацию в первые 3 месяца работы в размере 10.000 руб Шанс заработать столько, сколько захочешь. Опытного наставника который научит, покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Индивидуальный график работы, совмещение с учебой Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Полный доступ к Онлайн Университету компании с сотнями книг и лекций Повысить свой уровень компетенций до уровня ТОП Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",,Продвигать услуги компании; Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение; Вносить данные в программу; Вести отчетность,,Индивидуальный график работы; совмещение с учебой,,
"""Можно РАБОТАТЬ С 16 лет! Приглашаем также студентов на подработку!*не удаленно Обязанности:  Продажи услуг связи компании (тарифы, акции и т.п.) Консультация по выбору подходящих и выгодных тарифов для клиентов: интернет, интерактивное ТВ, видеонаблюдение, мобильная связь, умный дом Формирование заявок на подключение услуг  Условия:  Время работы 4 часа в день График подстраиваете под себя (в зависимости от учёбы/занятости) Средний доход от 35 000 рублей в месяц и выше, ежемесячные премии по результатам работы Удобный район работы, без привязки к офису Оформление по договору ГПХ Карьерный рост Нет потолка по оплате работы сверх плана  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",С 16 лет,"Продажи услуг связи компании (тарифы, акции и т.п.); Консультация по выбору подходящих и выгодных тарифов для клиентов; интернет, интерактивное ТВ, видеонаблюдение, мобильная связь, умный дом; Формирование заявок на подключение услуг",,подработку; 4 часа в день; График подстраиваете под себя; (в зависимости от учёбы/занятости),,
"""Рассматриваем кандидатов без опыта работы!!!  Обязанности:  Продвигать услуги компании (Интернет, ТВ, Мобильная связь) Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение услуг Вести отчетность  Требования:  Желание работать и зарабатывать Стремление к личному результату Позитивный настрой Умение работать в команде  Ты получаешь:  Индивидуальный график работы, совмещение с учебой Возможность взять свободное посещение от учебы ( прохождение практики ) Шанс заработать столько, сколько захочешь с первого дня Доп. мотивацию в первые 3 месяца работы Опытного наставника, который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Корпоративное обучение (простое и понятное) Повышение своего уровня компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта работы,"Продвигать услуги компании (Интернет, ТВ, Мобильная связь); Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение услуг; Вести отчетность",,Индивидуальный график; совмещение с учебой; свободное посещение от учебы; прохождение практики,,
"""Рассматриваем кандидатов без опыта работы!!! С 16 лет! Обязанности:  Продвигать услуги компании (Интернет, ТВ, Мобильная связь) Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение услуг Вести отчетность  Требования:  Желание работать и зарабатывать Стремление к личному результату Позитивный настрой Умение работать в команде  Ты получаешь:  Индивидуальный график работы, совмещение с учебой Шанс заработать столько, сколько захочешь с первого дня Доп. мотивацию в первые 3 месяца работы в размере 9.000 руб Опытного наставника, который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Корпоративное обучение (простое и понятное) Повышение своего уровня компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта; 16 лет,"Продвигать услуги компании (Интернет, ТВ, Мобильная связь); Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение услуг; Вести отчетность",,Индивидуальный график; совмещение с учебой,,
"""Рассматриваем кандидатов без опыта работы!!! С 16 лет! Обязанности:  Продвигать услуги компании (Интернет, ТВ, Мобильная связь) Консультировать клиентов по действующим тарифам и акциям Оформлять заявки на подключение услуг Вести отчетность  Требования:  Желание работать и зарабатывать Стремление к личному результату Позитивный настрой Умение работать в команде  Ты получаешь:  Индивидуальный график работы, совмещение с учебой Шанс заработать столько, сколько захочешь с первого дня Доп. мотивацию в первые 3 месяца работы в размере 10.000 руб Опытного наставника, который научит ,покажет и расскажет Команду в который сможешь расти и развиваться Возможность вносить свои идеи для реализации в работе Возможность завести полезные знакомства Трудоустройство по договору гражданско-правового характера Корпоративное обучение (простое и понятное) Повышение своего уровня компетенций до уровня ТОП  Если тебя заинтересовала данная вакансия я жду именно твой отклик. До встречи на собеседовании!""",без опыта; 16 лет,Консультировать клиентов по действующим тарифам и акциям; Оформлять заявки на подключение услуг; Вести отчетность,,Индивидуальный график; совмещение с учебой,,
"""Рассматриваем кандидатов без опыта работы!!! С 16 лет!!! УСЛОВИЯ:  Рaбoта в удoбнoe для вaс вpемя Гpафик пoдcтрaиваетe под ceбя в зависимocти от учёбы/зaнятocти Оплата раз в мeсяц Oформлeниe пo ГПX  OБЯЗAHОCTИ:  Koнсультирoвание по услугам компании, продажи Оформление заявок Ведение отчетности  Будет преимуществом, если ранее работали в компаниях: МТС, Билайн, Дом Ру и т.д Если тебя заинтересовала данная вакансия я жду именно твой отклик. КОЛИЧЕСТВО МЕСТ ОГРАНИЧЕНО! ЗВОНИ ИЛИ ПИШИ! До встречи на собеседовании!""",без опыта; 16 лет,Koнсультирoвание по услугам компании; продажи; Оформление заявок; Ведение отчетности,"Будет преимуществом, если ранее работали в компаниях: МТС, Билайн, Дом Ру и т.д",удoбнoe для вaс вpемя; Гpафик пoдcтрaиваетe под ceбя; в зависимocти от учёбы/зaнятocти,,
"""Обязанности:   Построение финансовых бизнес-моделей ИТ-проектов;   Бизнес-анализ ТЭО и смет по ИТ-проектам;   Планирование отчета о финансовых результатах и отчета о движении денежных средств по компаниям ИТ-кластера;   Работа в учетных системах компании;   Подготовка финансовых отчетов по проектам.   Требования:   Высшее образование;   Знания финансового моделирования, бюджетирования, управленческого учета;   Навыки экономического и финансового анализа проектов (желательно ИТ-проектов) и бизнес-процессов;   Уверенное владение Excel. Продвинутые навыки работы с данными приветствуются;   Понимание особенностей ИТ-бизнеса и финансов ИТ-компаний будет преимуществом;   Желателен опыт работы с учетными системами 1С, Oracle, SAP;   Приветствуется знание методологии финансового моделирования и бизнес-анализа (CIMA, CFA, FP&A).   Условия:  Работа в Ростелекоме — это официальное оформление и широкий соцпакет, а ещё уникальная среда и комфортная атмосфера для роста в команде профессионалов; Заработная плата: ежемесячный фиксированный оклад+ годовая премия, детали обсудим на собеседовании; Пятидневная рабочая неделя: 9.00 до 18.00; Возможность развития с участием в масштабных проектах в группе компаний Ростелеком на территории всей страны. Работа в команде высокоэффективных и компетентных экспертов. Старт с компетентным наставником. ДМС после испытательного срока, жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста; Бесплатное обучение: профильные курсы и конференции за счет компании, корпоративный онлайн-университет, электронные библиотеки, митапы и вебинары; Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность; Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",,Построение финансовых бизнес-моделей ИТ-проектов; Бизнес-анализ ТЭО и смет по ИТ-проектам; Планирование отчета о финансовых результатах и отчета о движении денежных средств по компаниям ИТ-кластера; Работа в учетных системах компании; Подготовка финансовых отчетов по проектам,"Продвинутые навыки работы с данными приветствуются; Понимание особенностей ИТ-бизнеса и финансов ИТ-компаний будет преимуществом; Желателен опыт работы с учетными системами 1С, Oracle, SAP;; Приветствуется знание методологии финансового моделирования и бизнес-анализа; (CIMA, CFA, FP&A).",Пятидневная рабочая неделя; 9.00 до 18.00,Высшее образование,Знания финансового моделирования; бюджетирования; управленческого учета; Навыки экономического и финансового анализа проектов (желательно ИТ-проектов) и бизнес-процессов; владение Excel
